"url","Link","Link_link","Value 1","Value 2","Value 3"
"http://www.vandal.net/juegos/0/videojuegos/inicio/2","Colección LEGO Harry Potter","http://www.vandal.net/juegos/ps4/coleccion-lego-harry-potter/41915","21/10/2016","PlayStation 4","Aventura"
"http://www.vandal.net/juegos/0/videojuegos/inicio/2","Corona Blossom Vol. 2 The Truth From Beyond","http://www.vandal.net/juegos/pc/corona-blossom-vol-2-the-truth-from-beyond/42837","Octubre 2016","Ordenador","Aventura"
"http://www.vandal.net/juegos/0/videojuegos/inicio/2","Crazy Machines 3","http://www.vandal.net/juegos/pc/crazy-machines-3/36925","18/10/2016","Ordenador","Puzle"
"http://www.vandal.net/juegos/0/videojuegos/inicio/2","Crazy Sapper 3D","http://www.vandal.net/juegos/pc/crazy-sapper-3d/42608","Octubre 2016","Ordenador","Acción"
"http://www.vandal.net/juegos/0/videojuegos/inicio/2","Crown Champion: Legends of the Arena","http://www.vandal.net/juegos/pc/crown-champion-legends-of-the-arena/42713","21/10/2016","Ordenador","Estrategia / Rol"
"http://www.vandal.net/juegos/0/videojuegos/inicio/2","Daath Origins","http://www.vandal.net/juegos/pc/daath-origins/42044","Octubre 2016","Ordenador","Aventura"
"http://www.vandal.net/juegos/0/videojuegos/inicio/1","Batman: The Telltale Series - Episode 2: Children of Arkham","http://www.vandal.net/juegos/android/batman-the-telltale-series-episode-2-children-of-arkham/42099","Octubre 2016","Android","Aventura / Aventura Gráfica"
"http://www.vandal.net/juegos/0/videojuegos/inicio/1","Batman: The Telltale Series - Episode 3: New World Order","http://www.vandal.net/juegos/xbone/batman-the-telltale-series-episode-3-new-world-order/42785","25/10/2016","Xbox One","Aventura Gráfica"
"http://www.vandal.net/juegos/0/videojuegos/inicio/1","Batman: The Telltale Series - Episode 3: New World Order","http://www.vandal.net/juegos/pc/batman-the-telltale-series-episode-3-new-world-order/42787","25/10/2016","Ordenador","Aventura Gráfica"
"http://www.vandal.net/juegos/0/videojuegos/inicio/1","Batman: The Telltale Series - Episode 3: New World Order","http://www.vandal.net/juegos/ps4/batman-the-telltale-series-episode-3-new-world-order/42786","27/10/2016","PlayStation 4","Aventura Gráfica"
"http://www.vandal.net/juegos/0/videojuegos/inicio/1","Batman: The Telltale Series - Episode 3: New World Order PSN","http://www.vandal.net/juegos/ps3/batman-the-telltale-series-episode-3-new-world-order-psn/43040","27/10/2016","PlayStation 3","Aventura Gráfica"
"http://www.vandal.net/juegos/0/videojuegos/inicio/1","Batman: The Telltale Series - Episode 3: New World Order XBLA","http://www.vandal.net/juegos/x360/batman-the-telltale-series-episode-3-new-world-order-xbla/43039","25/10/2016","Xbox 360","Aventura Gráfica"
"http://www.vandal.net/juegos/0/videojuegos/inicio/1","Battlefield 1","http://www.vandal.net/juegos/pc/battlefield-1/38895","21/10/2016","Ordenador","Acción"
"http://www.vandal.net/juegos/0/videojuegos/inicio/1","Battlefield 1","http://www.vandal.net/juegos/xbone/battlefield-1/38896","21/10/2016","Xbox One","Acción"
"http://www.vandal.net/juegos/0/videojuegos/inicio/1","Battlefield 1","http://www.vandal.net/juegos/ps4/battlefield-1/38897","21/10/2016","PlayStation 4","Acción"
"http://www.vandal.net/juegos/0/videojuegos/inicio/1","Best Fiends Forever","http://www.vandal.net/juegos/android/best-fiends-forever/43120","18/10/2016","Android","Otros"
"http://www.vandal.net/juegos/0/videojuegos/inicio/1","Big Buck Hunter Arcade","http://www.vandal.net/juegos/pc/big-buck-hunter-arcade/42356","25/10/2016","Ordenador","Acción"
"http://www.vandal.net/juegos/0/videojuegos/inicio/1","Big Buck Hunter Arcade","http://www.vandal.net/juegos/ps4/big-buck-hunter-arcade/43112","25/10/2016","PlayStation 4","Acción"
"http://www.vandal.net/juegos/0/videojuegos/inicio/1","Big Buck Hunter Arcade","http://www.vandal.net/juegos/xbone/big-buck-hunter-arcade/43118","25/10/2016","Xbox One","Acción"
"http://www.vandal.net/juegos/0/videojuegos/inicio/1","Blade Sliders","http://www.vandal.net/juegos/iphone/blade-sliders/43036","19/10/2016","iPhone","Acción"
"http://www.vandal.net/juegos/0/videojuegos/inicio/1","Blazblue: Centralfiction","http://www.vandal.net/juegos/ps4/blazblue-centralfiction/34399","4/11/2016","PlayStation 4","Lucha"
"http://www.vandal.net/juegos/0/videojuegos/inicio/1","Blazblue: Centralfiction","http://www.vandal.net/juegos/ps3/blazblue-centralfiction/38211","4/11/2016","PlayStation 3","Lucha"
"http://www.vandal.net/juegos/0/videojuegos/inicio/1","Blood Ties","http://www.vandal.net/juegos/pc/blood-ties/43078","22/10/2016","Ordenador","Rol"
"http://www.vandal.net/juegos/0/videojuegos/inicio/1","Book Series - Alice in Wonderland","http://www.vandal.net/juegos/pc/book-series-alice-in-wonderland/42972","27/10/2016","Ordenador","Aventura"
"http://www.vandal.net/juegos/0/videojuegos/inicio/1","Boxing Saga","http://www.vandal.net/juegos/pc/boxing-saga/43061","21/10/2016","Ordenador","Lucha"
"http://www.vandal.net/juegos/0/videojuegos/inicio/1","Business Tour","http://www.vandal.net/juegos/pc/business-tour/43008","Octubre 2016","Ordenador","Estrategia"
"http://www.vandal.net/juegos/0/videojuegos/inicio/16","Unearthing Colossal","http://www.vandal.net/juegos/pc/unearthing-colossal/38694","22/10/2016","Ordenador","Aventura"
"http://www.vandal.net/juegos/0/videojuegos/inicio/16","Unruly Ghouls","http://www.vandal.net/juegos/pc/unruly-ghouls/42807","19/10/2016","Ordenador","Acción"
"http://www.vandal.net/juegos/0/videojuegos/inicio/16","Versus Game","http://www.vandal.net/juegos/pc/versus-game/43074","Octubre 2016","Ordenador","Acción"
"http://www.vandal.net/juegos/0/videojuegos/inicio/16","Very Real Chess","http://www.vandal.net/juegos/pc/very-real-chess/41869","Octubre 2016","Ordenador","Estrategia"
"http://www.vandal.net/juegos/0/videojuegos/inicio/16","Violet Haunted","http://www.vandal.net/juegos/pc/violet-haunted/42511","24/10/2016","Ordenador","Rol"
"http://www.vandal.net/juegos/0/videojuegos/inicio/16","Void Vikings","http://www.vandal.net/juegos/pc/void-vikings/42292","31/10/2016","Ordenador","Acción / Shooter"
"http://www.vandal.net/juegos/0/videojuegos/inicio/16","WAR7","http://www.vandal.net/juegos/pc/war7/42856","21/10/2016","Ordenador","Acción"
"http://www.vandal.net/juegos/0/videojuegos/inicio/16","Weeping Doll","http://www.vandal.net/juegos/ps4/weeping-doll/42430","27/10/2016","PlayStation 4","Puzle / Aventura"
"http://www.vandal.net/juegos/0/videojuegos/inicio/16","Where's My What?","http://www.vandal.net/juegos/pc/wheres-my-what/42347","Octubre 2016","Ordenador","Otros"
"http://www.vandal.net/juegos/0/videojuegos/inicio/16","Wild Arena","http://www.vandal.net/juegos/pc/wild-arena/43068","31/10/2016","Ordenador","Acción"
"http://www.vandal.net/juegos/0/videojuegos/inicio/16","Wild Romance","http://www.vandal.net/juegos/pc/wild-romance/42518","19/10/2016","Ordenador","Aventura"
"http://www.vandal.net/juegos/0/videojuegos/inicio/16","Windlands","http://www.vandal.net/juegos/ps4/windlands/43113","25/10/2016","PlayStation 4","Aventura"
"http://www.vandal.net/juegos/0/videojuegos/inicio/16","Wonder Boy Returns","http://www.vandal.net/juegos/ps4/wonder-boy-returns/42243","Octubre 2016","PlayStation 4","Plataformas"
"http://www.vandal.net/juegos/0/videojuegos/inicio/16","World of Final Fantasy","http://www.vandal.net/juegos/ps4/world-of-final-fantasy/31656","28/10/2016","PlayStation 4","Rol"
"http://www.vandal.net/juegos/0/videojuegos/inicio/16","World of Final Fantasy","http://www.vandal.net/juegos/psvita/world-of-final-fantasy/31657","28/10/2016","PSVITA","Rol"
"http://www.vandal.net/juegos/0/videojuegos/inicio/16","World Ship Simulator","http://www.vandal.net/juegos/pc/world-ship-simulator/34309","28/10/2016","Ordenador",""
"http://www.vandal.net/juegos/0/videojuegos/inicio/16","Xanadu Next","http://www.vandal.net/juegos/pc/xanadu-next/34075","3/11/2016","Ordenador","Rol"
"http://www.vandal.net/juegos/0/videojuegos/inicio/16","Yomawari: Night Alone","http://www.vandal.net/juegos/psvita/yomawari-night-alone/31758","28/10/2016","PSVITA","Aventura"
"http://www.vandal.net/juegos/0/videojuegos/inicio/16","Yomawari: Night Alone","http://www.vandal.net/juegos/pc/yomawari-night-alone/39387","28/10/2016","Ordenador","Aventura"
"http://www.vandal.net/juegos/0/videojuegos/inicio/16","Zombie Birds First Encounter Halloween","http://www.vandal.net/juegos/pc/zombie-birds-first-encounter-halloween/42978","19/10/2016","Ordenador","Acción"
"http://www.vandal.net/juegos/0/videojuegos/inicio/15","The Night The Carsons Disappeared","http://www.vandal.net/juegos/pc/the-night-the-carsons-disappeared/43050","24/10/2016","Ordenador","Aventura"
"http://www.vandal.net/juegos/0/videojuegos/inicio/15","The Puppet Master","http://www.vandal.net/juegos/pc/the-puppet-master/42970","22/10/2016","Ordenador","Puzle / Aventura"
